task,quantile,method,mode,softness,standardize,num_compare,num_steps,lr,batch_size,seed,test_acc_em,test_acc_ew,test_acc_em5,best_valid_acc_em5,test_mse,test_spearman,best_valid_mse
quantile,0.5,softsort,smooth,0.1,True,3,100000,0.001,100,0,,,,,309275.1075,0.9739279167912792,247170.0834375
quantile,0.5,sorting_network,smooth,0.1,True,3,100000,0.001,100,0,,,,,319350.9053125,0.9723212901752128,241216.15171875
quantile,0.5,softsort,smooth,0.1,True,5,100000,0.001,100,0,,,,,267715.242421875,0.9688623437446234,207957.64765625
quantile,0.5,sorting_network,smooth,0.1,True,5,100000,0.001,100,0,,,,,228444.656875,0.9761959905899599,191373.995625
quantile,0.5,softsort,smooth,0.1,True,7,100000,0.001,100,0,,,,,213780.48453125,0.9694604485906044,192545.0209375
quantile,0.5,sorting_network,smooth,0.1,True,7,100000,0.001,100,0,,,,,250643.568984375,0.9676238122962382,218426.59515625
quantile,0.5,softsort,smooth,0.1,True,9,100000,0.001,100,0,,,,,214167.641328125,0.963939894423399,174047.83140625
quantile,0.5,sorting_network,smooth,0.1,True,9,100000,0.001,100,0,,,,,211958.96484375,0.9675114059551141,201069.0053125
quantile,0.5,sorting_network,smooth,0.1,True,15,100000,0.001,100,0,,,,,264323.6584375,0.9357285891932858,214477.41703125
quantile,0.5,softsort,smooth,0.1,True,15,100000,0.001,100,0,,,,,157234.34734375,0.9581826512098265,131021.856875
quantile,0.5,neuralsort,smooth,0.1,True,3,100000,0.001,100,0,,,,,268451.220703125,0.9767503140355032,251236.0109375
quantile,0.5,neuralsort,smooth,0.1,True,7,100000,0.001,100,0,,,,,241659.68671875,0.9614678041226781,177559.48109375
quantile,0.5,neuralsort,smooth,0.1,True,5,100000,0.001,100,0,,,,,187048.806953125,0.9777633141096331,150850.233125
quantile,0.5,neuralsort,smooth,0.1,True,9,100000,0.001,100,0,,,,,243967.98265625,0.9543296801312968,179858.77609375
quantile,0.5,neuralsort,smooth,0.1,True,15,100000,0.001,100,0,,,,,163158.401328125,0.9509817775858178,134533.6071875
quantile,0.5,softsort,hard,0.1,True,9,100000,0.001,100,0,,,,,196399.776953125,0.9627136245271363,149335.609375
quantile,0.5,sorting_network,hard,0.1,True,9,100000,0.001,100,0,,,,,189962.703828125,0.9631113377351134,151134.1178125
